threads,power,execution_time,mean_cycles,min_cycles,max_cycles
1,101.789,10.005236696,29885681628.0,0.0,0.0
1,101.971,10.005411528,29939852346.0,0.0,0.0
1,101.829,10.005503394,29940848984.0,0.0,0.0
1,101.761,10.005443402,29940217275.0,0.0,0.0
1,101.705,10.005259557,29941553229.0,0.0,0.0
1,101.774,10.007500087,29940928633.0,0.0,0.0
1,101.913,10.004718907,29940304008.0,0.0,0.0
1,101.837,10.005153636,29940825712.0,0.0,0.0
1,101.852,10.005406463,29939649347.0,0.0,0.0
1,101.916,10.005165620,29938103926.0,0.0,0.0
2,107.144,10.005949489,29886833030.0,-5113941.0,5113941.0
2,107.245,10.005899528,29889536308.5,-5506288.5,5506288.5
2,107.204,10.005910273,29894242761.5,-4866245.5,4866245.5
2,107.106,10.005470341,29894070363.0,-5105877.0,5105877.0
2,107.171,10.004947744,29900437203.0,-4182258.0,4182258.0
2,107.061,10.005730838,29899343334.0,-4627053.0,4627053.0
2,107.028,10.004693569,29896891723.5,-4905239.5,4905239.5
2,106.996,10.004484020,29904727245.5,-3338659.5,3338659.5
2,106.862,10.005550306,29881088956.0,-6121738.0,6121738.0
2,106.909,10.005377758,29895785172.5,-5135219.5,5135219.5
3,110.269,10.006661015,27956027606.0,-344009280.0,224878758.0
3,109.752,10.005419658,27963182076.333332,-328888926.33333206,218105417.66666794
3,109.672,10.005312521,27960059744.666668,-327623246.66666794,217437061.33333206
3,109.837,10.005262702,27950473877.0,-344280064.0,225145263.0
3,111.096,10.005179577,27949404277.0,-340386602.0,226298875.0
3,111.115,10.006257739,27954702836.666668,-326475009.66666794,216256742.33333206
3,111.083,10.005208159,27952826578.666668,-336094952.66666794,224695757.33333206
3,111.09,10.005844228,27939026421.333332,-364582027.33333206,238151347.66666794
3,111.09,10.005160051,27938714663.666668,-367048779.66666794,241970586.33333206
3,111.218,10.005390870,27939230408.0,-360602380.0,237439651.0
4,111.812,10.005951642,24388421422.0,-1328943019.0,641550525.0
4,111.754,10.005020129,24388901696.75,-1343143000.75,640687553.25
4,111.61,10.004609510,24412886376.0,-1290499138.0,617245931.0
4,111.68,10.005574173,24396897369.5,-1342444539.5,630761385.5
4,111.586,10.005381786,24416470836.5,-1305485348.5,611060791.5
4,111.332,10.005087081,24383841390.5,-1325016157.5,644321684.5
4,112.011,10.007041982,24569078599.25,-1110264851.25,467898305.75
4,111.598,10.004858465,25260458157.0,-2142362600.0,2927538736.0
4,111.163,10.005525671,24393048792.5,-1321253631.5,632326473.5
4,111.105,10.004475916,24392749071.25,-1327101386.25,639796109.75
5,115.803,10.004753111,24480466639.4,-1407979368.4000015,545738348.5999985
5,115.8,10.005456676,24485228833.8,-1408788129.7999992,539409476.2000008
5,115.609,10.005239044,24558798647.4,-1456074419.4000015,717999984.5999985
5,115.563,10.006991213,24497190242.2,-1427057284.2000008,529318715.79999924
5,115.698,10.005289367,24505847853.0,-1438420799.0,520592630.0
5,115.666,10.006001087,24493009770.6,-1415545832.5999985,530575826.4000015
5,115.705,10.005347418,24509265274.8,-1430297893.7999992,516923860.20000076
5,115.508,10.005509778,24516619443.2,-1439036419.2000008,509036747.79999924
5,115.334,10.005429896,24503584145.2,-1430152648.2000008,522548162.79999924
5,114.544,10.005172797,24500641609.2,-1444568876.2000008,532550761.79999924
6,119.771,10.004744166,24594892150.166668,-1514769238.166668,433283321.83333206
6,119.444,10.004696355,24570106489.333332,-1479554336.333332,461255391.66666794
6,119.61,10.004985559,24577004259.166668,-1479203625.166668,460537577.83333206
6,119.716,10.004681362,24576447922.5,-1473323850.5,461127991.5
6,119.231,10.006233199,24574567072.0,-1458828652.0,459031781.0
6,119.221,10.005131658,24571051648.5,-1483696747.5,460741308.5
6,119.442,10.005420698,24569035588.0,-1480241664.0,463707311.0
6,118.879,10.005290246,24565343328.666668,-1486378204.666668,455262066.33333206
6,119.006,10.005189199,24565732984.5,-1469800749.5,463275832.5
6,118.904,10.005507764,24568332902.666668,-1489668052.666668,455411321.33333206
7,123.755,10.005290941,24585909742.857143,-1492849223.8571434,445569418.1428566
7,123.617,10.005543646,24584675395.0,-1494066006.0,442015196.0
7,123.545,10.005226298,24581640061.857143,-1502416554.8571434,447948475.1428566
7,123.615,10.005075799,24584363982.57143,-1468696415.5714302,443453812.4285698
7,123.47,10.004716074,24575591048.142857,-1490547456.1428566,454982310.8571434
7,123.495,10.005106841,24591565193.0,-1469055955.0,443255734.0
7,123.199,10.009013412,24581277658.714287,-1429250272.7142868,439153126.2857132
7,122.988,10.007726915,24573841027.142857,-1484785515.1428566,458016322.8571434
7,122.924,10.004868816,24564599573.42857,-1469706292.4285698,468018374.5714302
7,122.81,10.005614936,24569769255.142857,-1478735613.1428566,466546462.8571434
8,128.537,10.004749678,24635480799.5,-1481948234.5,394220310.5
8,128.655,10.004558690,24632744848.0,-1508214167.0,396694685.0
8,127.934,10.005275911,24624586350.625,-1504281197.625,407808258.375
8,127.961,10.005349394,24628624662.0,-1510744630.0,399780960.0
8,128.159,10.005115236,24629414666.625,-1518429999.625,402028773.375
8,127.977,10.004537162,24628331858.625,-1524396257.625,404073267.375
8,127.735,10.005680767,24622672891.125,-1518353767.125,410704800.875
8,127.489,10.004819613,24631559600.375,-1512336616.375,402975278.625
8,126.878,10.005384478,24625248334.75,-1512367884.75,406486298.25
8,126.622,10.004701956,24635648256.375,-1454575039.375,398106174.625
9,133.9,10.004752977,25228173645.555557,-2090303332.5555573,4682515198.444443
9,133.749,10.004695883,25230051319.77778,-2095597465.7777786,4708191699.222221
9,133.727,10.004807879,25221562343.77778,-2053640905.7777786,4687849743.222221
9,133.583,10.004952556,25221100513.333332,-2086401769.333332,4717755705.666668
9,133.35,10.005323895,25224810179.0,-2081833690.0,4690323159.0
9,133.011,10.005129723,25228443467.555557,-2093361795.5555573,4697803561.444443
9,133.137,10.005396543,25229996790.666668,-2099937168.666668,4710546139.333332
9,133.108,10.005449001,25224474241.444443,-2075736133.4444427,4694115309.555557
9,133.41,10.005322068,25233242952.11111,-2098303199.1111107,4706884870.888889
9,132.905,10.004657401,25218904706.11111,-2089251511.1111107,4699079477.888889
10,136.07,10.005283766,25689436599.7,-2520128525.700001,4217411833.299999
10,135.655,10.005467532,25682228517.1,-2508752571.0999985,4236935619.9000015
10,135.472,10.004722436,25690035043.1,-2527264887.0999985,4192242747.9000015
10,135.337,10.005665990,25796348947.7,-2621922823.700001,4087688581.299999
10,135.244,10.006189991,25691831200.8,-2527369051.799999,4223791626.200001
10,139.332,10.004735020,25679882102.0,-2431214410.0,4174804081.0
10,138.802,10.006232617,25684106337.6,-2509447620.5999985,4218769875.4000015
10,138.417,10.004813438,25683368752.8,-2501283428.799999,4250664696.200001
10,138.12,10.005104967,25684152749.5,-2515308927.5,4235822804.5
10,138.071,10.005284280,25685123777.3,-2523886796.299999,4227630025.700001
11,140.437,10.005907620,25556587166.545456,-2434066538.545456,2637804101.454544
11,140.053,10.005230918,25547594335.363636,-2436504277.363636,2636224680.636364
11,140.285,10.006175502,25553761238.81818,-2424194154.81818,2631354521.18182
11,139.722,10.005336870,25543743616.18182,-2433173762.18182,2645751786.81818
11,139.689,10.004893392,25543150028.909092,-2425264629.909092,2635500018.090908
11,140.048,10.004699462,25549336537.272728,-2413826915.272728,2636555768.727272
11,139.527,10.005007209,25548296112.0,-2394574460.0,2631713539.0
11,139.754,10.006048426,25539738631.0,-2385561364.0,2634861826.0
11,143.259,10.005363792,25540946511.363636,-2406370117.363636,2645074864.636364
11,143.327,10.005293507,25554067800.727272,-2361038873.727272,2623497655.272728
12,142.729,10.007553452,24602784351.25,-1405872485.25,492102267.75
12,142.432,10.006074238,24583411880.25,-1387848170.25,499897952.75
12,142.096,10.004977274,24590821054.75,-1387968078.75,496448917.25
12,142.269,10.004558352,24613426805.75,-1358791477.75,472387086.25
12,141.388,10.005345977,24608907981.666668,-1394118745.666668,486013294.33333206
12,141.122,10.004595885,24597132062.083332,-1389410719.083332,488609372.91666794
12,141.315,10.005390932,24610304104.166668,-1410944118.166668,476908887.83333206
12,141.046,10.004620111,24599139120.833332,-1397424210.833332,495331733.16666794
12,142.217,10.005363089,24610917896.583332,-1349774605.583332,468994433.41666794
12,141.453,10.005290100,24600135303.666668,-1394637050.666668,486861646.33333206
13,146.528,10.005304788,24551966656.53846,-1203014313.5384598,536003365.4615402
13,146.791,10.004693012,24589889203.53846,-1272634298.5384598,499057721.4615402
13,146.28,10.008189940,24588919759.46154,-1348797168.4615402,504199953.5384598
13,146.055,10.005248114,24586554320.846153,-1333344627.8461533,503201329.15384674
13,146.293,10.004505730,24584476778.923077,-1345059416.9230766,504172566.0769234
13,146.095,10.004780107,24580066305.076923,-1336437532.0769234,507362874.9230766
13,145.372,10.004785314,24582968794.923077,-1366719242.9230766,506027893.0769234
13,144.843,10.005411121,24569295291.692307,-1339240386.6923065,521818350.3076935
13,144.555,10.004331010,24580300122.53846,-1328201420.5384598,506661950.4615402
13,144.588,10.005380894,24572538881.846153,-1350089515.8461533,516410415.15384674
14,151.536,10.005350737,24601063900.42857,-1337341002.4285698,487580911.5714302
14,151.268,10.004619110,24599978091.0,-1347047951.0,490837195.0
14,150.372,10.007411921,24604161228.5,-1339719135.5,487169685.5
14,150.032,10.005670428,24601745999.214287,-1349408354.2142868,486812366.7857132
14,150.537,10.004905362,24607598889.214287,-1334619478.2142868,480222142.7857132
14,149.954,10.005285729,24588948752.714287,-1328020220.7142868,499872543.2857132
14,150.03,10.004747555,24611263535.857143,-1279463392.8571434,476174397.1428566
14,150.018,10.004912296,24600647570.57143,-1333634917.5714302,486775059.4285698
14,149.374,10.005398155,24607947994.5,-1353709889.5,481890625.5
14,149.408,10.005151095,24601898831.857143,-1352413515.8571434,488052151.1428566
15,155.824,10.005028310,24578806398.466667,-1308636074.4666672,513098094.5333328
15,155.883,10.004617335,24580932611.466667,-1289109563.4666672,507865776.5333328
15,155.553,10.004779315,24568642103.266666,-1346738019.2666664,524010587.7333336
15,155.666,10.004806432,24570873563.133335,-1262092237.133335,526850895.8666649
15,154.618,10.004526378,24571187362.733334,-1271454690.7333336,517727829.2666664
15,153.804,10.004898754,24584297571.8,-1274191768.7999992,506821478.20000076
15,153.618,10.005318745,24621737532.4,-1332088051.4000015,471662051.5999985
