threads,core,cycles
1,0,29885681628.0
1,1,27803295.0
1,2,119350238.0
1,3,39795828.0
1,4,30665322.0
1,5,44924178.0
1,6,7055531.0
1,7,9810862.0
1,8,1010203.0
1,9,6021659.0
1,10,67375358.0
1,11,8196092.0
1,12,61991738.0
1,13,64195248.0
1,14,5156317.0
1,15,517405715.0
1,16,1863826.0
1,17,375495.0
1,18,410790.0
1,19,453020.0
1,20,396721.0
1,21,1352021.0
1,22,426419.0
1,23,509512.0
1,24,25153705.0
1,25,31707574.0
1,26,40651272.0
1,27,29483455.0
1,28,69097193.0
1,29,44310613.0
1,30,66199239.0
1,31,39102116.0
1,0,29939852346.0
1,1,12282111.0
1,2,2391327.0
1,3,1016033.0
1,4,3094569.0
1,5,2314401.0
1,6,954718.0
1,7,9793170.0
1,8,759705.0
1,9,744508.0
1,10,917197.0
1,11,860099.0
1,12,1399521.0
1,13,789905.0
1,14,1498717.0
1,15,883770.0
1,16,2117377.0
1,17,665011.0
1,18,862046.0
1,19,765340.0
1,20,587223.0
1,21,340155.0
1,22,674849.0
1,23,528906.0
1,24,903447.0
1,25,415862.0
1,26,931215.0
1,27,893640.0
1,28,628572.0
1,29,2526144.0
1,30,6864902.0
1,31,5063220.0
1,0,29940848984.0
1,1,13019935.0
1,2,1228998.0
1,3,1738317.0
1,4,961798.0
1,5,537120.0
1,6,567953.0
1,7,11907025.0
1,8,880828.0
1,9,387162.0
1,10,448523.0
1,11,795855.0
1,12,478444.0
1,13,8167312.0
1,14,5888059.0
1,15,307688.0
1,16,1776932.0
1,17,371587.0
1,18,405058.0
1,19,442256.0
1,20,305580.0
1,21,419174.0
1,22,536582.0
1,23,549783.0
1,24,650645.0
1,25,734649.0
1,26,712676.0
1,27,717941.0
1,28,1344914.0
1,29,1499746.0
1,30,712582.0
1,31,814608.0
1,0,29940217275.0
1,1,9741553.0
1,2,1033794.0
1,3,736686.0
1,4,6627221.0
1,5,6942540.0
1,6,688503.0
1,7,576410.0
1,8,4390733.0
1,9,4761333.0
1,10,406096.0
1,11,368222.0
1,12,703858.0
1,13,621408.0
1,14,2087330.0
1,15,1037160.0
1,16,1955503.0
1,17,498582.0
1,18,535945.0
1,19,583714.0
1,20,490320.0
1,21,527599.0
1,22,570643.0
1,23,536839.0
1,24,512213.0
1,25,254784.0
1,26,517967.0
1,27,326163.0
1,28,436343.0
1,29,1672131.0
1,30,462482.0
1,31,290328.0
1,0,29941553229.0
1,1,10379230.0
1,2,1301761.0
1,3,793701.0
1,4,5241383.0
1,5,7557212.0
1,6,725734.0
1,7,673127.0
1,8,430787.0
1,9,463156.0
1,10,616162.0
1,11,580499.0
1,12,630418.0
1,13,356335.0
1,14,1090518.0
1,15,282217.0
1,16,1964777.0
1,17,492754.0
1,18,612179.0
1,19,562229.0
1,20,608193.0
1,21,690352.0
1,22,583978.0
1,23,477246.0
1,24,498340.0
1,25,677703.0
1,26,438835.0
1,27,427782.0
1,28,1198225.0
1,29,1950575.0
1,30,9194420.0
1,31,6057453.0
1,0,29940928633.0
1,1,11929034.0
1,2,885551.0
1,3,997964.0
1,4,856217.0
1,5,532248.0
1,6,12877829.0
1,7,645457.0
1,8,1007055.0
1,9,693971.0
1,10,676714.0
1,11,647245.0
1,12,746907.0
1,13,8714885.0
1,14,14227822.0
1,15,1237717.0
1,16,1700267.0
1,17,169597.0
1,18,214761.0
1,19,362114.0
1,20,138579.0
1,21,307654.0
1,22,289552.0
1,23,348573.0
1,24,306220.0
1,25,495823.0
1,26,571061.0
1,27,463538.0
1,28,658886.0
1,29,1826004.0
1,30,968006.0
1,31,468971.0
1,0,29940304008.0
1,1,12925333.0
1,2,714621.0
1,3,589301.0
1,4,1157224.0
1,5,233818.0
1,6,13322180.0
1,7,421526.0
1,8,536315.0
1,9,571132.0
1,10,901738.0
1,11,846708.0
1,12,708104.0
1,13,635634.0
1,14,2383082.0
1,15,963848.0
1,16,2206569.0
1,17,672651.0
1,18,910966.0
1,19,797080.0
1,20,749634.0
1,21,695628.0
1,22,945733.0
1,23,849406.0
1,24,661758.0
1,25,7706792.0
1,26,4993956.0
1,27,795321.0
1,28,1872789.0
1,29,2960056.0
1,30,1530956.0
1,31,1009777.0
1,0,29940825712.0
1,1,10461529.0
1,2,812990.0
1,3,483559.0
1,4,378135.0
1,5,11873570.0
1,6,559353.0
1,7,485111.0
1,8,4514991.0
1,9,304695.0
1,10,337538.0
1,11,4955850.0
1,12,316333.0
1,13,904859.0
1,14,2148741.0
1,15,417379.0
1,16,1634233.0
1,17,430353.0
1,18,479069.0
1,19,469695.0
1,20,517592.0
1,21,369225.0
1,22,393010.0
1,23,387166.0
1,24,494809.0
1,25,399449.0
1,26,436385.0
1,27,331010.0
1,28,431096.0
1,29,1628151.0
1,30,709338.0
1,31,341766.0
1,0,29939649347.0
1,1,10965973.0
1,2,1370325.0
1,3,1068733.0
1,4,1438371.0
1,5,11841056.0
1,6,522668.0
1,7,517830.0
1,8,516764.0
1,9,1070341.0
1,10,1419210.0
1,11,466545.0
1,12,7056414.0
1,13,5152360.0
1,14,568709.0
1,15,2651371.0
1,16,1805777.0
1,17,374366.0
1,18,527910.0
1,19,457197.0
1,20,1325199.0
1,21,373851.0
1,22,542813.0
1,23,1847220.0
1,24,151938.0
1,25,128916.0
1,26,296138.0
1,27,426315.0
1,28,476340.0
1,29,1448600.0
1,30,437421.0
1,31,522133.0
1,0,29938103926.0
1,1,14208547.0
1,2,2465787.0
1,3,651721.0
1,4,930481.0
1,5,1490150.0
1,6,13221290.0
1,7,371929.0
1,8,413881.0
1,9,374719.0
1,10,565140.0
1,11,517896.0
1,12,977573.0
1,13,428267.0
1,14,683729.0
1,15,473477.0
1,16,1774793.0
1,17,482942.0
1,18,670186.0
1,19,606771.0
1,20,719710.0
1,21,1197884.0
1,22,684762.0
1,23,653438.0
1,24,805185.0
1,25,579276.0
1,26,807744.0
1,27,736366.0
1,28,9494268.0
1,29,1273249.0
1,30,4434310.0
1,31,272355.0
2,0,29881719089.0
2,1,29891946971.0
2,2,442206915.0
2,3,1344856.0
2,4,477146.0
2,5,202217.0
2,6,15072530.0
2,7,310493.0
2,8,665892.0
2,9,4708839.0
2,10,884614.0
2,11,5527054.0
2,12,3076689.0
2,13,1041066.0
2,14,971103.0
2,15,1862154.0
2,16,1965864.0
2,17,552736.0
2,18,691656.0
2,19,804154.0
2,20,839117.0
2,21,688152.0
2,22,777801.0
2,23,656691.0
2,24,734318.0
2,25,873428.0
2,26,814779.0
2,27,593189.0
2,28,1358519.0
2,29,2986315.0
2,30,1157030.0
2,31,394472.0
2,0,29884030020.0
2,1,29895042597.0
2,2,441652114.0
2,3,525838.0
2,4,785948.0
2,5,293394.0
2,6,12569341.0
2,7,308782.0
2,8,614438.0
2,9,588744.0
2,10,1554131.0
2,11,1271561.0
2,12,8164474.0
2,13,5610513.0
2,14,690958.0
2,15,786126.0
2,16,1792741.0
2,17,429048.0
2,18,469372.0
2,19,450659.0
2,20,360721.0
2,21,422576.0
2,22,399571.0
2,23,375291.0
2,24,205273.0
2,25,132541.0
2,26,299383.0
2,27,308539.0
2,28,274101.0
2,29,3066105.0
2,30,407903.0
2,31,177974.0
2,0,29889376516.0
2,1,29899109007.0
2,2,439319718.0
2,3,450188.0
2,4,966920.0
2,5,2655140.0
2,6,9109097.0
2,7,281075.0
2,8,486234.0
2,9,609524.0
2,10,747666.0
2,11,354946.0
2,12,506876.0
2,13,336267.0
2,14,475581.0
2,15,506390.0
2,16,1565189.0
2,17,133662.0
2,18,303965.0
2,19,185607.0
2,20,280572.0
2,21,169509.0
2,22,384819.0
2,23,403815.0
2,24,697015.0
2,25,1137172.0
2,26,1322604.0
2,27,975638.0
2,28,5025375.0
2,29,3472658.0
2,30,745902.0
2,31,9461195.0
2,0,29888964486.0
2,1,29899176240.0
2,2,436715060.0
2,3,1290058.0
2,4,658490.0
2,5,11219149.0
2,6,201829.0
2,7,218628.0
2,8,391489.0
2,9,391496.0
2,10,1022906.0
2,11,717266.0
2,12,4506902.0
2,13,528176.0
2,14,432626.0
2,15,5262455.0
2,16,1730793.0
2,17,338788.0
2,18,459040.0
2,19,430452.0
2,20,351114.0
2,21,420574.0
2,22,447906.0
2,23,334942.0
2,24,434030.0
2,25,571916.0
2,26,580715.0
2,27,461502.0
2,28,1082335.0
2,29,3038225.0
2,30,894265.0
2,31,433963.0
2,0,29896254945.0
2,1,29904619461.0
2,2,435341271.0
2,3,319310.0
2,4,369827.0
2,5,11218474.0
2,6,334497.0
2,7,396397.0
2,8,529240.0
2,9,427023.0
2,10,555171.0
2,11,570249.0
2,12,453497.0
2,13,421162.0
2,14,511835.0
2,15,677750.0
2,16,1599718.0
2,17,270970.0
2,18,347383.0
2,19,319494.0
2,20,299190.0
2,21,462764.0
2,22,343192.0
2,23,137643.0
2,24,488898.0
2,25,6264103.0
2,26,5300658.0
2,27,673328.0
2,28,1180601.0
2,29,2535794.0
2,30,1525061.0
2,31,2359309.0
2,0,29894716281.0
2,1,29903970387.0
2,2,437240829.0
2,3,551887.0
2,4,548175.0
2,5,8230946.0
2,6,4346567.0
2,7,345708.0
2,8,665313.0
2,9,1060211.0
2,10,1266938.0
2,11,684654.0
2,12,663890.0
2,13,4868551.0
2,14,1109223.0
2,15,7808264.0
2,16,2088161.0
2,17,409173.0
2,18,616482.0
2,19,533731.0
