threads,power,execution_time,mean_cycles,mean_mperf,mean_aperf,main_voltage
1,102.533,10.032159362,29924473440.0,19962794720.0,29923638566.0,1.019667
1,102.662,10.031276415,29900095957.0,19962860000.0,29898304141.0,1.019381
1,102.74,10.031691896,29905908135.0,19976100600.0,29904342010.0,1.019667
1,102.747,10.032381488,29902353226.0,19971859040.0,29897580243.0,1.020238
1,102.478,10.031163436,29890445580.0,19962403300.0,29890231042.0,1.019667
1,102.484,10.031610177,29893601510.0,19976080520.0,29891458606.0,1.019333
1,103.094,10.031467624,29875096150.0,19968391760.0,29872014507.0,1.020238
1,102.928,10.032096344,29901855205.0,19969144860.0,29900914728.0,1.019952
1,103.074,10.032375218,29892677845.0,19972487060.0,29889864436.0,1.020238
1,102.959,10.031213719,29909229252.0,19973178440.0,29902911288.0,1.019381
2,107.914,10.031429780,29864740970.0,19962643060.0,29864694596.0,1.019952
2,107.162,10.033091982,29845796740.5,19965071850.0,29845623138.5,1.019667
2,108.248,10.031189006,29842308317.5,19965365810.0,29842630076.5,1.019952
2,108.173,10.031434487,29854794934.0,19965114700.0,29854741577.0,1.020238
2,108.133,10.031469662,29818152245.5,19972660720.0,29817787735.5,1.020810
2,107.941,10.032933106,29875896775.0,19962526810.0,29875855371.5,1.020524
2,107.72,10.031300589,29878409588.0,19962621380.0,29878362739.0,1.019667
2,107.597,10.031588909,29872030582.0,19962527880.0,29871856505.5,1.019952
2,107.472,10.033022346,29884760115.5,19969797920.0,29884902967.0,1.020238
2,107.382,10.031374366,29919673844.0,19964302490.0,29919630701.5,1.020238
3,111.78,10.032019589,27947606241.0,19963485066.666668,27947399578.333332,1.023381
3,111.591,10.030054389,27942416591.333332,19965418600.0,27943613136.0,1.021952
3,111.246,10.031349518,27938591015.666668,19963815800.0,27938391082.333332,1.021095
3,111.107,10.031305350,27946403324.666668,19963707693.333332,27945893032.0,1.025952
3,110.958,10.031224838,27939511647.0,19963570500.0,27939019808.0,1.023952
3,111.009,10.031494503,27950754869.0,19963831160.0,27950583058.333332,1.020238
3,110.713,10.030161317,27932158745.666668,19965397366.666668,27932147917.0,1.022810
3,110.29,10.030978206,27937994076.666668,19963624646.666668,27937950849.0,1.023571
3,111.652,10.030200507,27938720468.333332,19963620613.333332,27938503645.0,1.023095
3,111.654,10.033033178,27954919313.333332,19963587346.666668,27954860228.666668,1.025667
4,112.067,10.029372446,24421094460.75,19963832635.0,24421026773.0,1.015952
4,113.21,10.030304576,24410952438.5,19963713335.0,24410527391.0,1.016238
4,112.484,10.027962874,24419772153.5,19963651390.0,24419584770.75,1.015000
4,112.452,10.029063354,24414804526.75,19963570060.0,24414733585.0,1.015667
4,112.247,10.028418194,24404612160.75,19963816940.0,24404399552.25,1.016238
4,112.146,10.029844094,24403345709.25,19963726185.0,24403175568.0,1.015952
4,112.26,10.029938455,24422874326.75,19963618155.0,24422738384.0,1.016238
4,111.797,10.029114671,24417317697.25,19972684070.0,24416352966.5,1.015286
4,111.537,10.028963654,24426398080.25,19963846140.0,24426286139.0,1.015667
4,113.106,10.028474698,24419806117.25,19963519535.0,24419744394.5,1.015667
5,115.766,10.026836359,24478316256.8,19964580400.0,24477779270.2,1.004619
5,115.588,10.026922053,24498166711.0,19963579484.0,24498111894.4,1.004333
5,115.303,10.028965124,24490027996.2,19963690480.0,24489853651.6,1.015667
5,116.623,10.029472913,24499225236.0,19963734028.0,24498859365.6,1.017095
5,116.142,10.027968404,24500225622.8,19963655832.0,24500153835.4,1.017095
5,115.82,10.028838061,24488863016.2,19964362324.0,24488548890.4,1.016524
5,115.719,10.028307395,24500131902.8,19963782408.0,24499686299.2,1.016810
5,116.898,10.029562983,24490277348.0,19963724508.0,24489808103.4,1.017952
5,116.079,10.026971826,24482526776.6,19963943832.0,24482022141.2,1.015857
5,116.263,10.027925900,24498137495.0,19964780216.0,24497933462.6,1.016810
6,120.304,10.027295579,24577813199.666668,19965306366.666668,24577950993.0,1.012524
6,120.159,10.027586076,25352373970.166668,19965787363.333332,24579403626.333332,1.011667
6,120.013,10.026347445,24577247690.166668,19963685276.666668,24576601420.5,1.013095
6,119.742,10.027318120,24575051446.333332,19964069046.666668,24574612122.333332,1.012810
6,119.39,10.027931867,24570321848.0,19963985086.666668,24569827022.833332,1.013095
6,121.049,10.028380522,24578959811.333332,19963891796.666668,24578498830.0,1.013667
6,120.418,10.027519251,24584644492.166668,19973415940.0,24582912443.5,1.015095
6,120.155,10.028230392,24564116738.333332,19963103283.333332,24563344633.666668,1.013952
6,119.902,10.028391260,24567111083.333332,19963008866.666668,24564692808.0,1.012238
6,119.803,10.028226330,24581573908.833332,19963261553.333332,24580962290.166668,1.014238
7,123.051,10.025826442,24568519615.857143,19962988888.57143,24568180550.285713,1.014238
7,125.136,10.025809271,24577300507.57143,19962911048.57143,24576934392.714287,1.013667
7,125.146,10.026172678,24556695653.57143,19962940054.285713,24556248761.42857,1.013667
7,124.766,10.026688770,24568736787.0,19962836542.857143,24567745856.285713,1.011286
7,124.399,10.026702655,24580841074.714287,19971089971.42857,24579149633.42857,1.013095
7,124.232,10.025077431,24569367644.57143,19963161460.0,24568985698.714287,0.999762
7,123.685,10.028528932,24581513249.0,19963019914.285713,24581195449.42857,1.012524
7,123.49,10.026256396,24556405240.714287,19963016971.42857,24556073501.0,1.013381
7,123.317,10.028981799,24578908203.142857,19962990082.857143,24578464244.714287,1.013095
7,123.094,10.025158102,24583026350.42857,19970966320.0,24581591237.42857,1.013667
8,128.64,10.026843345,24626555815.125,19962863360.0,24625967429.75,1.013667
8,128.235,10.026105828,24633406885.125,19963117090.0,24632448439.75,1.014238
8,127.86,10.025242810,24649744679.0,19970232632.5,24648474779.75,1.015095
8,127.637,10.025927818,24610093769.625,19963230030.0,24609433511.625,1.013667
8,127.665,10.025224895,24619513838.25,19962999930.0,24618869646.875,1.009381
8,126.887,10.025381180,24606399747.125,19963088327.5,24605793818.0,1.015095
8,126.672,10.027594035,24634926543.875,19963097160.0,24634541180.875,1.012238
8,126.409,10.026367765,24643854318.0,19970288807.5,24641720856.75,1.009952
8,128.939,10.025585472,24628705666.25,19962987912.5,24628380713.875,1.014810
8,128.299,10.025356652,24615559040.5,19963163217.5,24615158146.0,1.014810
9,132.147,10.024993742,25233781547.77778,19969414711.11111,25228683775.77778,1.015381
9,131.594,10.025017401,25226504881.666668,19962963155.555557,25226222222.0,1.015381
9,131.496,10.025379247,25224665257.444443,19963168642.22222,25224267670.77778,1.015381
9,135.095,10.025940227,25241338684.11111,19963045228.88889,25240876077.11111,1.014810
9,134.452,10.024403780,25224471563.77778,19962844824.444443,25224211519.444443,1.015095
9,134.203,10.024646746,25232290044.11111,19969388193.333332,25229722354.77778,1.014810
9,134.245,10.025718442,25229710923.22222,19963053713.333332,25229428602.666668,1.015381
9,134.226,10.025336828,25238460517.77778,19962955571.11111,25238173011.555557,1.015381
9,133.837,10.024852204,25235793244.11111,19963014428.88889,25235372999.0,0.997476
9,133.731,10.026508792,25241687938.22222,19962993377.77778,25241431405.333332,1.013095
10,136.306,10.024178780,25673100773.6,19963144134.0,25672130982.2,1.008429
10,139.293,10.026032236,25669218731.4,19963072552.0,25668934822.5,1.009952
10,139.252,10.025044306,25676157610.9,19963061974.0,25675904301.8,1.015095
10,139.033,10.024198596,25684728973.0,19968936928.0,25677518452.6,1.002333
10,139.058,10.024926394,25668568477.5,19963049622.0,25668191994.2,0.997476
10,138.623,10.025236023,25672131977.3,19962920950.0,25671661021.2,1.014238
10,137.419,10.025222988,25676515729.8,19963104454.0,25676079524.9,1.009952
10,137.349,10.025222947,25659506864.9,19963104340.0,25659260003.2,1.011381
10,137.493,10.025209720,25687838234.0,19968777650.0,25686144016.9,1.013952
10,137.054,10.024841537,25650569157.2,19963215446.0,25650122225.7,1.014524
11,143.26,10.025207138,25547465749.636364,19963055045.454544,25547225658.81818,1.014810
11,142.669,10.024721685,25546970548.636364,19968363312.727272,25543738157.909092,1.014810
11,141.889,10.025198671,25547899342.090908,19963144916.363636,25547579319.81818,1.015095
11,141.765,10.025419902,25540351911.18182,19963184941.81818,25540106059.909092,1.014238
11,141.57,10.025447103,25552411714.363636,19963834172.727272,25549922528.909092,1.015095
11,141.417,10.025829022,25551000203.272728,19963199523.636364,25550587675.18182,1.014810
11,141.173,10.024973822,25536652076.545456,19963124741.81818,25536415053.727272,1.014524
11,140.631,10.025396860,25555778968.909092,19968635250.909092,25551583006.909092,1.014238
