threads,core,cycles,mperf,aperf,core_voltage,execution_time
1,0,29924473440.0,19962794720.0,29923638566.0,96,10.032159362
1,1,17142445.0,11795800.0,15547370.0,93,10.032159362
1,2,1047454.0,735280.0,882799.0,92,10.032159362
1,3,995441.0,738780.0,830322.0,111,10.032159362
1,4,1856729.0,1366920.0,1662640.0,112,10.032159362
1,5,3393831.0,2364820.0,3196568.0,110,10.032159362
1,6,1083150.0,820320.0,915738.0,112,10.032159362
1,7,8465007.0,6051180.0,7753616.0,110,10.032159362
1,8,1015570.0,717220.0,854353.0,98,10.032159362
1,9,832883.0,557120.0,669246.0,96,10.032159362
1,10,1097640.0,763880.0,933796.0,94,10.032159362
1,11,1009302.0,749080.0,838063.0,113,10.032159362
1,12,1611468.0,1192460.0,1427587.0,115,10.032159362
1,13,891490.0,652940.0,719041.0,113,10.032159362
1,14,1191488.0,881560.0,1021326.0,113,10.032159362
1,15,1057842.0,788040.0,887821.0,113,10.032159362
1,16,116469520.0,86595800.0,113317868.0,98,10.032159362
1,17,38454733.0,30774080.0,38521083.0,98,10.032159362
1,18,26651568.0,20760740.0,25960004.0,94,10.032159362
1,19,46189252.0,35565940.0,45275228.0,112,10.032159362
1,20,166234857.0,126362420.0,165638822.0,114,10.032159362
1,21,45230528.0,35541900.0,44509601.0,112,10.032159362
1,22,36644703.0,28807300.0,35970511.0,112,10.032159362
1,23,85442980.0,64319140.0,84727890.0,112,10.032159362
1,24,12900316.0,10117320.0,12428638.0,95,10.032159362
1,25,6931952.0,5572060.0,6606422.0,92,10.032159362
1,26,13516812.0,10172960.0,13057608.0,92,10.032159362
1,27,2887673.0,2361960.0,2682526.0,112,10.032159362
1,28,16034123.0,11891580.0,15565342.0,113,10.032159362
1,29,14668829.0,10724820.0,14175373.0,111,10.032159362
1,30,4009020.0,3127240.0,3709943.0,111,10.032159362
1,31,14318920.0,10511460.0,13774244.0,112,10.032159362
1,0,29900095957.0,19962860000.0,29898304141.0,96,10.031276415
1,1,33042617.0,24400520.0,31110251.0,94,10.031276415
1,2,8184697.0,6519320.0,7857417.0,112,10.031276415
1,3,6842605.0,5388400.0,6455431.0,111,10.031276415
1,4,3833341.0,3045360.0,3519370.0,112,10.031276415
1,5,131704451.0,97804920.0,129084692.0,110,10.031276415
1,6,10491186.0,11343580.0,13966295.0,112,10.031276415
1,7,22380180.0,16723480.0,21440153.0,110,10.031276415
1,8,1078576.0,757560.0,902630.0,98,10.031276415
1,9,962093.0,656320.0,786725.0,97,10.031276415
1,10,1041084.0,710060.0,866988.0,94,10.031276415
1,11,905002.0,670140.0,729920.0,113,10.031276415
1,12,886960.0,680200.0,721699.0,115,10.031276415
1,13,762070.0,565080.0,595604.0,113,10.031276415
1,14,876788.0,653540.0,709538.0,113,10.031276415
1,15,855791.0,638220.0,687985.0,113,10.031276415
1,16,30395913.0,23077020.0,29385032.0,98,10.031276415
1,17,33392120.0,26149860.0,32670999.0,97,10.031276415
1,18,49478019.0,38547220.0,48765857.0,94,10.031276415
1,19,38850311.0,30372760.0,38307229.0,112,10.031276415
1,20,29517606.0,23299720.0,28888984.0,115,10.031276415
1,21,35400844.0,27621620.0,34791358.0,112,10.031276415
1,22,78725377.0,58967100.0,78184869.0,112,10.031276415
1,23,86857863.0,65176240.0,86267509.0,112,10.031276415
1,24,1174064.0,832620.0,990496.0,95,10.031276415
1,25,6029312.0,4347280.0,5720114.0,92,10.031276415
1,26,1062486.0,740240.0,897371.0,92,10.031276415
1,27,1041306.0,768940.0,875743.0,112,10.031276415
1,28,13432618.0,9273340.0,13022329.0,113,10.031276415
1,29,14894250.0,10414500.0,14447068.0,111,10.031276415
1,30,13386907.0,9261840.0,13112452.0,111,10.031276415
1,31,26115997.0,17663680.0,25791089.0,112,10.031276415
1,0,29905908135.0,19976100600.0,29904342010.0,96,10.031691896
1,1,44345258.0,33770560.0,42471426.0,93,10.031691896
1,2,36425367.0,28794420.0,35800469.0,93,10.031691896
1,3,31223548.0,24902960.0,30603929.0,111,10.031691896
1,4,79701500.0,59853360.0,79234311.0,112,10.031691896
1,5,37499977.0,29874960.0,36955446.0,110,10.031691896
1,6,87195851.0,66291840.0,86622421.0,112,10.031691896
1,7,40964527.0,32291340.0,39966153.0,110,10.031691896
1,8,16707566.0,12340280.0,16236208.0,98,10.031691896
1,9,14616357.0,10565360.0,14121599.0,98,10.031691896
1,10,9941500.0,7402420.0,9516801.0,94,10.031691896
1,11,10540151.0,7788720.0,10143685.0,113,10.031691896
1,12,807706.0,607160.0,649494.0,115,10.031691896
1,13,5375619.0,4208220.0,5101769.0,113,10.031691896
1,14,6499518.0,4818220.0,6234808.0,113,10.031691896
1,15,12867019.0,9429140.0,12471201.0,113,10.031691896
1,16,11708857.0,8139060.0,10919025.0,98,10.031691896
1,17,13213884.0,9943300.0,12613249.0,98,10.031691896
1,18,5766520.0,4200400.0,5331733.0,113,10.031691896
1,19,20959458.0,15777040.0,20184749.0,112,10.031691896
1,20,16850461.0,12584340.0,16285673.0,114,10.031691896
1,21,12862944.0,10205560.0,13069170.0,112,10.031691896
1,22,88726241.0,63978780.0,85634852.0,112,10.031691896
1,23,65360327.0,46826980.0,64809415.0,112,10.031691896
1,24,1033058.0,729880.0,861879.0,95,10.031691896
1,25,985205.0,678320.0,813602.0,92,10.031691896
1,26,988197.0,676500.0,818017.0,92,10.031691896
1,27,984059.0,730500.0,814479.0,112,10.031691896
1,28,974561.0,720700.0,802038.0,113,10.031691896
1,29,970790.0,709300.0,796313.0,111,10.031691896
1,30,1008278.0,742900.0,837400.0,111,10.031691896
1,31,1046745.0,765060.0,872734.0,112,10.031691896
1,0,29902353226.0,19971859040.0,29897580243.0,96,10.032381488
1,1,52135700.0,40142020.0,50407043.0,93,10.032381488
1,2,38750761.0,31107460.0,38295039.0,112,10.032381488
1,3,22953683.0,18227880.0,22549707.0,111,10.032381488
1,4,100807408.0,80514880.0,98160690.0,112,10.032381488
1,5,30505784.0,27655560.0,35304634.0,110,10.032381488
1,6,21797260.0,17219900.0,21231135.0,112,10.032381488
1,7,54769219.0,43368220.0,53868770.0,110,10.032381488
1,8,9486997.0,7437280.0,9171959.0,98,10.032381488
1,9,9959747.0,7813780.0,9573919.0,97,10.032381488
1,10,8616755.0,6571500.0,8184818.0,94,10.032381488
