threads,core,cycles,mperf,aperf,core_voltage,execution_time
1,0,29923224205.0,19962475760.0,29923170713.0,96,10.032159362
1,1,16799351.0,11506860.0,15206104.0,93,10.032159362
1,2,659642.0,422460.0,496807.0,92,10.032159362
1,3,619584.0,440800.0,459031.0,111,10.032159362
1,4,965427.0,711140.0,790328.0,112,10.032159362
1,5,605836.0,427640.0,443252.0,110,10.032159362
1,6,642741.0,462500.0,481736.0,112,10.032159362
1,7,8167420.0,5823160.0,7462730.0,110,10.032159362
1,8,642424.0,407560.0,483040.0,98,10.032159362
1,9,624667.0,389780.0,463537.0,96,10.032159362
1,10,681876.0,437020.0,521088.0,94,10.032159362
1,11,638088.0,451660.0,472785.0,113,10.032159362
1,12,634781.0,450740.0,468484.0,115,10.032159362
1,13,606977.0,426080.0,440862.0,113,10.032159362
1,14,671018.0,479580.0,506383.0,113,10.032159362
1,15,648387.0,463400.0,484958.0,113,10.032159362
1,16,19322359.0,14059840.0,18398474.0,98,10.032159362
1,17,8194151.0,6308120.0,7765715.0,98,10.032159362
1,18,11406533.0,8582760.0,10881026.0,94,10.032159362
1,19,27241257.0,20707800.0,26419732.0,112,10.032159362
1,20,82235740.0,62199840.0,81700813.0,114,10.032159362
1,21,17017841.0,13378800.0,16489245.0,112,10.032159362
1,22,17279414.0,13407620.0,16716806.0,112,10.032159362
1,23,21370037.0,15992340.0,20727017.0,112,10.032159362
1,24,7716286.0,5803300.0,7308912.0,95,10.032159362
1,25,1593007.0,1148720.0,1344664.0,92,10.032159362
1,26,5773012.0,4152040.0,5375565.0,92,10.032159362
1,27,674548.0,486220.0,514822.0,112,10.032159362
1,28,12102379.0,8711600.0,11680438.0,113,10.032159362
1,29,5411113.0,3981220.0,4984099.0,111,10.032159362
1,30,2198932.0,1617000.0,1943695.0,111,10.032159362
1,31,7549637.0,5300860.0,7064908.0,112,10.032159362
1,32,1249235.0,318960.0,467853.0,96,10.032159362
1,33,343094.0,288940.0,341266.0,93,10.032159362
1,34,387812.0,312820.0,385992.0,92,10.032159362
1,35,375857.0,297980.0,371291.0,111,10.032159362
1,36,891302.0,655780.0,872312.0,112,10.032159362
1,37,2787995.0,1937180.0,2753316.0,110,10.032159362
1,38,440409.0,357820.0,434002.0,112,10.032159362
1,39,297587.0,228020.0,290886.0,110,10.032159362
1,40,373146.0,309660.0,371313.0,98,10.032159362
1,41,208216.0,167340.0,205709.0,96,10.032159362
1,42,415764.0,326860.0,412708.0,94,10.032159362
1,43,371214.0,297420.0,365278.0,113,10.032159362
1,44,976687.0,741720.0,959103.0,115,10.032159362
1,45,284513.0,226860.0,278179.0,113,10.032159362
1,46,520470.0,401980.0,514943.0,113,10.032159362
1,47,409455.0,324640.0,402863.0,113,10.032159362
1,48,97147161.0,72535960.0,94919394.0,98,10.032159362
1,49,30260582.0,24465960.0,30755368.0,98,10.032159362
1,50,15245035.0,12177980.0,15078978.0,94,10.032159362
1,51,18947995.0,14858140.0,18855496.0,112,10.032159362
1,52,83999117.0,64162580.0,83938009.0,114,10.032159362
1,53,28212687.0,22163100.0,28020356.0,112,10.032159362
1,54,19365289.0,15399680.0,19253705.0,112,10.032159362
1,55,64072943.0,48326800.0,64000873.0,112,10.032159362
1,56,5184030.0,4314020.0,5119726.0,95,10.032159362
1,57,5338945.0,4423340.0,5261758.0,92,10.032159362
1,58,7743800.0,6020920.0,7682043.0,92,10.032159362
1,59,2213125.0,1875740.0,2167704.0,112,10.032159362
1,60,3931744.0,3179980.0,3884904.0,113,10.032159362
1,61,9257716.0,6743600.0,9191274.0,111,10.032159362
1,62,1810088.0,1510240.0,1766248.0,111,10.032159362
1,63,6769283.0,5210600.0,6709336.0,112,10.032159362
1,0,29898616879.0,19962761600.0,29898174736.0,96,10.031276415
1,1,28605590.0,20831860.0,26792321.0,94,10.031276415
1,2,2452592.0,1847720.0,2186890.0,112,10.031276415
1,3,3118790.0,2358040.0,2816411.0,111,10.031276415
1,4,1941481.0,1444000.0,1665825.0,112,10.031276415
1,5,127037034.0,94346600.0,124565376.0,110,10.031276415
1,6,8932907.0,10090200.0,12481921.0,112,10.031276415
1,7,10146288.0,7406060.0,9240786.0,110,10.031276415
1,8,834580.0,542860.0,657179.0,98,10.031276415
1,9,784493.0,501080.0,607378.0,97,10.031276415
1,10,790557.0,504220.0,614942.0,94,10.031276415
1,11,665646.0,470420.0,492321.0,113,10.031276415
1,12,773912.0,577720.0,610091.0,115,10.031276415
1,13,621798.0,442280.0,456949.0,113,10.031276415
1,14,633416.0,450380.0,468162.0,113,10.031276415
1,15,634367.0,451960.0,467908.0,113,10.031276415
1,16,16332973.0,11798480.0,15433488.0,98,10.031276415
1,17,12540757.0,9739460.0,12006373.0,97,10.031276415
1,18,18322910.0,14389020.0,17864066.0,94,10.031276415
1,19,13188767.0,10256600.0,12740201.0,112,10.031276415
1,20,16018288.0,12515060.0,15488039.0,115,10.031276415
1,21,10707145.0,8293140.0,10183076.0,112,10.031276415
1,22,12366131.0,9677160.0,11912861.0,112,10.031276415
1,23,25035007.0,19425540.0,24513415.0,112,10.031276415
1,24,764251.0,497720.0,588441.0,95,10.031276415
1,25,5622782.0,4010900.0,5320139.0,92,10.031276415
1,26,676671.0,433160.0,516239.0,92,10.031276415
1,27,631521.0,448920.0,470337.0,112,10.031276415
1,28,6678454.0,4542540.0,6326948.0,113,10.031276415
1,29,6824423.0,4775480.0,6419499.0,111,10.031276415
1,30,8279214.0,5559980.0,8058104.0,111,10.031276415
1,31,7361181.0,4952440.0,7099096.0,112,10.031276415
1,32,1479078.0,98400.0,129405.0,96,10.031276415
1,33,4437027.0,3568660.0,4317930.0,94,10.031276415
1,34,5732105.0,4671600.0,5670527.0,112,10.031276415
1,35,3723815.0,3030360.0,3639020.0,111,10.031276415
1,36,1891860.0,1601360.0,1853545.0,112,10.031276415
1,37,4667417.0,3458320.0,4519316.0,110,10.031276415
1,38,1558279.0,1253380.0,1484374.0,112,10.031276415
1,39,12233892.0,9317420.0,12199367.0,110,10.031276415
1,40,243996.0,214700.0,245451.0,98,10.031276415
1,41,177600.0,155240.0,179347.0,97,10.031276415
1,42,250527.0,205840.0,252046.0,94,10.031276415
1,43,239356.0,199720.0,237599.0,113,10.031276415
1,44,113048.0,102480.0,111608.0,115,10.031276415
1,45,140272.0,122800.0,138655.0,113,10.031276415
1,46,243372.0,203160.0,241376.0,113,10.031276415
1,47,221424.0,186260.0,220077.0,113,10.031276415
1,48,14062940.0,11278540.0,13951544.0,98,10.031276415
1,49,20851363.0,16410400.0,20664626.0,97,10.031276415
1,50,31155109.0,24158200.0,30901791.0,94,10.031276415
1,51,25661544.0,20116160.0,25567028.0,112,10.031276415
1,52,13499318.0,10784660.0,13400945.0,115,10.031276415
1,53,24693699.0,19328480.0,24608282.0,112,10.031276415
1,54,66359246.0,49289940.0,66272008.0,112,10.031276415
1,55,61822856.0,45750700.0,61754094.0,112,10.031276415
1,56,409813.0,334900.0,402055.0,95,10.031276415
1,57,406530.0,336380.0,399975.0,92,10.031276415
1,58,385815.0,307080.0,381132.0,92,10.031276415
